p_value,coef
0.6400975649334497,0.18212203809692648
0.06086454309724357,-0.7983042318378042
0.22900308270000092,-0.5078984067840414
0.2882165522425745,-0.45152026566050807
0.9291518396923611,-0.035518085838874475
0.8965010585937049,-0.048237242896494024
0.48003125049600515,-0.29868383283979283
0.6642065409148117,-0.15888107412699304
0.9729825099598731,0.01369003734537428
0.27766474767235405,-0.41977964951460256
0.10217202044519941,-0.7356550705603697
0.8419561650485302,-0.08266539453347843
0.9227744319682243,-0.04020330198318845
0.35344881542543827,-0.3747653084489724
0.3910125700165583,-0.35771898074601066
0.18859135298881902,-0.5556577072707968
0.8237187071927482,0.08724090674549867
0.5201410394473018,-0.31845068314426794
0.8597447567627258,-0.07287096951276453
0.7327735584594612,-0.1313920140678166
0.20417840871704795,-0.4862630138415812
0.5132913182224239,-0.3043393180758047
0.3703650776182962,-0.4379318646717297
0.32015711737418906,-0.401842918190062
0.36233037971998605,-0.3174979577362523
0.6581876556390522,-0.16443957989741242
0.18516643720748727,-0.5582917373074601
0.9180606280942726,0.04282119627486019
0.18231349702928812,-0.5984477230554329
0.5490966926067329,0.23090527896870883
0.4225639069725715,-0.3198809894790932
0.05904509079121392,-0.7764616762666787
0.7409284951740747,-0.1410863638614063
0.35647452041991223,-0.3518695602253518
0.426793106545011,-0.2802988783261797
0.21232681654443752,-0.5498148928347667
0.5801657635599897,-0.20836274128360513
0.9771869430085688,-0.013144171469798772
0.5587135527399378,-0.2058854915688466
0.9787806035080608,-0.011490008027318808
0.07478307673237013,-0.6843698264796202
0.8900106205656327,-0.057674111380587645
0.7777772749018312,0.11394273513158414
0.8803021082110548,-0.05812787035787159
0.8122478119378491,0.09841003541439232
0.37563767595221975,-0.3290470648870966
0.485962045490821,-0.28907686513944547
0.35478671679003526,-0.4278828153689504
0.18710860409619123,-0.5431634237952042
0.3627681998379425,-0.3394403165161015
0.754039934000083,-0.12111352776689044
0.6217491364143514,0.19958701791163333
0.9000959466449789,0.05126209912999038
0.860981835056699,-0.060832212153145465
0.5883045532254307,-0.2435475157122734
0.7133995898236235,-0.12693281739691928
0.8907981413833373,-0.05689889653401251
0.5014112462598499,-0.2897174333378364
0.4953573667359431,-0.28731876764235154
0.2840439115061968,-0.4233653996902384
0.6964660723171915,-0.14867532645808065
0.049031287730261566,-0.8452713532854356
0.5591456958098496,-0.2200056306282718
0.9235426617466487,-0.03724120326158759
0.17769788370666373,-0.5600846957385914
0.12344682704007658,-0.6847313708215471
0.21359987644798617,-0.5262683830693666
0.5217435239963542,-0.2529527593064155
0.7133325526448786,-0.16210965296365873
0.1732286927360055,-0.5417577961916313
0.3959440012106915,-0.34608604865083986
0.6167269747994149,-0.19894690980279955
0.5300086499511439,-0.2920985550908928
0.15679733576876162,-0.5833956709983704
0.31902546459378855,-0.4006641774743152
0.35862401553627954,-0.3349763065223959
0.5562768105073781,-0.2336470685811871
0.84149974551611,0.07653208024044521
0.3779548042566383,-0.3330629708083781
0.6865815295185136,-0.17036284466761764
0.5922264078981256,-0.214771121244479
0.49329092781704365,-0.26164656597821645
0.8463495743334692,0.07990007252355258
0.5335533932478949,-0.2272141706380694
0.22490562349665255,-0.5171452329510469
0.416683934930865,-0.4049757506146812
0.9058298366370551,0.04592102530303103
0.08179210753347549,-0.6742796080895229
0.0510659674028708,-0.892580858245936
0.17405816996504697,-0.5382247892347277
0.8149043015517003,0.09085013761959954
0.3863644958124056,-0.4436499813210765
0.32337247012441295,-0.41982706709141226
0.434231701844806,-0.2997973999598999
0.06387118050185188,-0.7607946375281197
0.3516859421655164,-0.37781901268205975
0.07233336352610925,-0.8387863670596306
0.28312427907836557,-0.4745376354419982
0.8229491479045281,-0.07370415402403839
0.9425884104469643,0.02901075022297006
0.1504798625769643,-0.6257168667509617
0.44056963186943043,-0.3668941230068266
0.4207620638429227,-0.3185158283989658
0.6013388616625465,-0.2130581907188264
0.36342032468426566,-0.44011235631030654
0.9347320083735603,-0.03180396928336269
0.9067580617933004,-0.041164181250768005
0.8883888124570032,-0.055909369857306254
0.7792112629305603,-0.13457363708146458
0.846866584059662,-0.0918668331437182
0.20885988355140128,-0.5132673969010131
0.5625534339450298,-0.21752442123847426
0.5871444737829942,-0.2311238297907382
0.7232695288334354,-0.1316963761850853
0.3954973309127323,-0.340937487278251
0.533503625973923,-0.25806833683435965
0.37453177149681216,-0.3900101244635616
0.28298772081185264,-0.4215636921718795
0.5038879170860184,-0.267802845713246
0.6125430147872986,-0.23556903444931887
0.2298470497650088,-0.5746493138185442
0.37771666287572936,-0.33906655933920904
0.2519204372280487,-0.45889914370576323
0.15602923052389875,-0.6445827077659929
0.7810203966126199,-0.1112487373664986
0.9919901378926548,0.004054900658405743
0.12731717818298632,-0.6030206136487126
0.4805236326774902,-0.2485829013512686
0.1789046088229722,-0.5465221065252198
0.2747359604624443,-0.4374273080795014
0.6206868567830763,-0.18959487845605866
0.19301368623579462,-0.5158157107743357
0.3303630508662805,-0.3678679433263953
0.14741036393417817,-0.6283569970824521
0.26482838197300385,-0.4375737383856187
0.7127115186576842,0.12818953360259897
0.7408127909262631,-0.14153807474237334
0.7250699242418683,-0.13865172686141117
0.11667122459403917,-0.6745814651255039
0.6205693625747002,-0.20570744751782663
0.8522154022550387,-0.0744532714405783
